,MSE,RMSE,MAE,R2,MAPE
Random Forest,345.37684718165855,18.58431723743594,14.67799364351794,0.8230402184444862,0.46109937862733597
Linear Regression,246.8225460102368,15.710587067650808,12.358350562963366,0.8735362136131435,0.38748272670129297
ARIMA,,57.688599978701724,42.02467407482973,-0.7051451401368054,1.300881437791098
